Refdatum,rki_7days,rki_14days,rki_28days
2020-12-18,441.71122994652404,419.42959001782526,343.80570409982175
2020-12-19,420.14260249554366,422.01426024955435,347.8163992869875
2020-12-20,418.36007130124773,417.5579322638146,350.7575757575757
2020-12-21,419.96434937611406,416.39928698752226,357.70944741532975
2020-12-22,426.0249554367201,423.35115864527626,365.7308377896613
2020-12-23,438.680926916221,425.40106951871655,374.331550802139
2020-12-24,386.9875222816399,405.97147950089123,371.74688057041
2020-12-25,331.01604278074865,386.3636363636363,367.5579322638146
2020-12-26,318.7165775401069,369.4295900178253,367.06773618538324
2020-12-27,321.2121212121212,369.78609625668446,368.5383244206773
2020-12-28,311.40819964349373,365.6862745098039,373.3065953654189
2020-12-29,319.78609625668446,372.9055258467023,381.37254901960785
2020-12-30,306.06060606060606,372.37076648841355,383.3778966131907
2020-12-31,303.7433155080214,345.36541889483067,376.8716577540107
2021-01-01,304.27807486631013,317.6470588235294,368.5383244206773
2021-01-02,308.5561497326203,313.6363636363636,367.825311942959
2021-01-03,299.6434937611408,310.427807486631,363.9928698752228
2021-01-04,284.8484848484848,298.1283422459893,357.2638146167558
2021-01-05,258.6452762923351,289.2156862745098,356.283422459893
2021-01-06,240.99821746880568,273.52941176470586,349.4652406417112
2021-01-07,252.04991087344027,277.8966131907308,341.93404634581105
2021-01-08,265.7754010695187,285.0267379679144,335.6951871657754
2021-01-09,257.21925133689837,282.88770053475935,326.15864527629236
2021-01-10,248.84135472370764,274.24242424242425,322.01426024955435
2021-01-11,233.6898395721925,259.26916221033866,312.47771836007126
2021-01-12,215.8645276292335,237.2549019607843,305.0802139037433
2021-01-13,211.05169340463456,226.02495543672012,299.19786096256684
2021-01-14,193.40463458110517,222.72727272727272,284.04634581105165
2021-01-15,187.3440285204991,226.5597147950089,272.1033868092691
2021-01-16,185.91800356506238,221.5686274509804,267.602495543672
2021-01-17,184.67023172905525,216.75579322638146,263.5918003565062
2021-01-18,180.21390374331548,206.951871657754,252.54010695187165
2021-01-19,166.66666666666666,191.26559714795007,240.24064171122993
2021-01-20,148.3065953654189,179.67914438502672,226.6042780748663
2021-01-21,152.22816399286987,172.81639928698752,225.35650623885917
2021-01-22,141.88948306595364,164.61675579322636,224.8217468805704
2021-01-23,138.68092691622104,162.29946524064172,222.59358288770053
2021-01-24,136.18538324420678,160.42780748663102,217.3351158645276
2021-01-25,126.5597147950089,153.3868092691622,206.32798573975043
2021-01-26,125.31194295900177,145.9893048128342,191.62210338680927
2021-01-27,128.69875222816398,138.50267379679144,182.2638146167558
2021-01-28,118.00356506238859,135.1158645276292,178.92156862745097
2021-01-29,109.98217468805703,125.93582887700533,176.24777183600713
2021-01-30,105.52584670231728,122.10338680926915,171.83600713012476
2021-01-31,102.85204991087343,119.5187165775401,168.13725490196077
2021-02-01,99.28698752228163,112.92335115864527,159.93761140819961
2021-02-02,94.11764705882352,109.71479500891265,150.49019607843135
2021-02-03,84.31372549019608,106.50623885918003,143.0926916221034
2021-02-04,80.03565062388591,99.01960784313725,135.91800356506238
2021-02-05,81.46167557932263,95.72192513368984,130.1693404634581
2021-02-06,77.71836007130125,91.62210338680926,126.96078431372548
2021-02-07,74.8663101604278,88.85918003565061,124.64349376114082
2021-02-08,71.301247771836,85.29411764705881,119.3404634581105
2021-02-09,65.77540106951871,79.94652406417111,112.96791443850266
2021-02-10,65.06238859180036,74.68805704099822,106.59536541889483
2021-02-11,62.21033868092691,71.12299465240642,103.11942959001782
2021-02-12,59.180035650623886,70.32085561497325,98.1283422459893
2021-02-13,59.71479500891265,68.71657754010695,95.40998217468805
2021-02-14,59.53654188948306,67.20142602495544,93.36007130124777
2021-02-15,60.24955436720142,65.77540106951871,89.34937611408199
2021-02-16,59.71479500891265,62.745098039215684,86.22994652406416
2021-02-17,58.8235294117647,61.942959001782526,84.22459893048128
2021-02-18,59.180035650623886,60.695187165775394,79.85739750445633
2021-02-19,62.21033868092691,60.695187165775394,78.20855614973262
2021-02-20,59.35828877005347,59.53654188948306,75.57932263814617
2021-02-21,60.42780748663101,59.982174688057036,74.42067736185383
2021-02-22,57.219251336898395,58.73440285204991,72.01426024955437
2021-02-23,61.49732620320855,60.6060606060606,70.27629233511585
2021-02-24,60.6060606060606,59.71479500891265,67.20142602495544
2021-02-25,66.31016042780749,62.745098039215684,66.93404634581105
2021-02-26,66.13190730837789,64.1711229946524,67.24598930481282
2021-02-27,70.05347593582887,64.70588235294117,66.71122994652406
2021-02-28,73.26203208556149,66.84491978609626,67.02317290552584
2021-03-01,78.96613190730838,68.09269162210339,66.93404634581105
2021-03-02,81.63992869875223,71.56862745098039,67.15686274509804
2021-03-03,83.9572192513369,72.28163992869875,67.11229946524064
2021-03-04,78.78787878787878,72.54901960784314,66.62210338680927
2021-03-05,77.00534759358288,71.56862745098039,66.13190730837789
2021-03-06,75.57932263814617,72.81639928698752,66.17647058823529
2021-03-07,75.57932263814617,74.42067736185383,67.20142602495544
2021-03-08,77.89661319073083,78.4313725490196,68.58288770053476
2021-03-09,76.8270944741533,79.23351158645276,69.91978609625669
2021-03-10,79.85739750445633,81.90730837789661,70.81105169340464
2021-03-11,87.70053475935828,83.24420677361853,72.9946524064171
2021-03-12,90.19607843137254,83.60071301247771,73.88591800356505
